Episode,total_no_of_tasks,mapped,offloaded,cancelled,Completion%,xCompletion%,URG_missed,BE_missed,available_energy
100,1500,1305,0,195,4.2666666667,16.6,172,820,6.3170955556
101,1000,914,0,86,27.8,12.1,91,424,18.308
102,1000,909,0,91,27.8,11.2,76,443,19.87975
103,500,484,0,16,59.6,3.8,41,126,33.8314583333
104,1499,1317,0,182,6.6711140761,15.8105403602,175,805,7.9287944444
105,1000,912,0,88,31,11.7,71,414,18.3459166667
106,1000,915,0,85,27.6,13,92,417,17.61925
107,500,498,0,2,75.8,3.2,5,98,23.5473627778
108,500,493,0,7,62.4,2,22,149,35.5874722222
109,1000,903,0,97,28.6,11.4,88,415,16.8465694444
110,1000,927,0,73,28.8,9.2,81,466,20.2175
111,1000,907,0,93,29.6,11.7,89,405,18.3755277778
112,500,499,0,1,61.8,0.8,13,173,37.8755
113,2000,1578,0,422,7.4,4.55,265,1074,14.8461388889
114,500,499,0,1,74.8,2.8,12,99,23.8977777778
115,500,491,0,9,56.4,3.8,44,146,34.9977361111
116,1500,1263,0,237,4.4,16.4,144,807,8.0348888889
117,1000,892,0,108,26.2,9.8,85,447,20.6667361111
118,1500,1298,0,202,5.3333333333,15.5333333333,149,836,8.0146111111
119,1500,1290,0,210,5.6666666667,16.6,134,822,8.012625
120,500,498,0,2,60.6,2.2,21,163,36.6755833333
121,1000,907,0,93,29.9,9.4,80,434,20.8620972222
122,500,494,0,6,60.4,3,27,150,35.793625
123,1500,1284,0,216,5.8,15.5333333333,144,820,8.2329583333
124,1000,929,0,71,30.9,10.6,90,424,19.667375
125,500,497,0,3,61.8,1.6,14,166,36.9527777778
126,500,498,0,2,76.2,1.8,6,102,24.6342638889
127,1500,1253,0,247,5,17.1333333333,157,764,8.0311527778
128,1000,916,0,84,34.1,8.3,56,436,19.8485972222
129,1000,917,0,83,30.7,13,75,405,18.8777222222
,,,,,,,,,
,,,,,34.9112593581,9.152018012,83.9666666667,,
