0,1,2,3,4
2500.0,5.0,0.0,2500.0,0.0
3750.0,3.0,1.0,2513.0,0.0
3138.0,2.0,1.0,2538.0,0.0
3815.0,3.0,1.0,2573.0,0.0
2613.0,5.0,0.0,2613.0,0.0
2514.0,3.0,0.0,2514.0,0.0
3764.0,3.0,1.0,2522.0,0.0
3772.0,0.0,0.0,2847.0,0.0
4098.0,0.0,0.0,3048.0,0.0
4298.0,5.0,-0.2,4298.0,0.0
4299.0,5.0,-0.4,4299.0,0.0
4288.0,1.0,1.0,3046.0,0.0
3671.0,3.0,-1.0,3671.0,0.0
3671.0,3.0,-1.0,3671.0,0.0
3671.0,3.0,-1.0,3671.0,0.0
3673.0,4.0,-0.8,2423.0,0.0
2423.0,3.0,-1.0,2423.0,0.0
2424.0,3.0,-1.0,2424.0,0.0
2413.0,1.0,1.0,3042.0,0.0
4294.0,4.0,-1.6,4294.0,0.0
4301.0,1.0,0.8474285714285716,3059.0,0.0
3688.0,3.0,1.0,3067.0,0.0
4317.0,5.0,-0.2,4317.0,0.0
4318.0,5.0,-0.4,4318.0,0.0
4318.0,5.0,-0.8,4318.0,0.0
4094.0,0.0,0.0,3044.0,0.0
4294.0,4.0,-1.6,4294.0,0.0
4294.0,4.0,-0.2,4294.0,0.0
4276.0,1.0,0.3868571428571426,3034.0,0.0
4288.0,1.0,0.0,3046.0,0.0
4297.0,5.0,-0.2,4297.0,0.0
4297.0,5.0,-0.4,4297.0,0.0
4297.0,5.0,-0.8,4297.0,0.0
4298.0,5.0,-1.6,4298.0,0.0
4098.0,0.0,0.0,3048.0,0.0
4099.0,0.0,0.0,3049.0,0.0
4299.0,5.0,-0.2,4299.0,0.0
4288.0,1.0,0.036000000000001364,3046.0,0.0
4288.0,1.0,0.0,3046.0,0.0
4296.0,5.0,-0.2,4296.0,0.0
4096.0,0.0,0.0,3046.0,0.0
4097.0,0.0,0.0,3047.0,0.0
4297.0,5.0,-0.2,4297.0,0.0
4297.0,5.0,-0.4,4297.0,0.0
4299.0,5.0,-0.8,4299.0,0.0
4299.0,5.0,-1.6,4299.0,0.0
4288.0,1.0,0.0,3046.0,0.0
4296.0,5.0,-0.2,4296.0,0.0
4298.0,5.0,-0.4,4298.0,0.0
4299.0,5.0,-0.8,4299.0,0.0
4288.0,1.0,0.0,3046.0,0.0
4296.0,5.0,-0.2,4296.0,0.0
4096.0,0.0,0.0,3046.0,0.0
3471.0,0.0,0.0,1171.0,0.0
2422.0,4.0,-0.2,3672.0,0.0
3663.0,3.0,0.9190000000000005,3042.0,0.0
4276.0,1.0,0.1039999999999992,3034.0,0.0
4288.0,1.0,0.0,3046.0,0.0
3672.0,4.0,-0.2,2422.0,0.0
2223.0,0.0,0.794999999999999,2948.0,0.0
3798.0,0.0,0.0,2748.0,0.0
3374.0,4.0,-0.2,2124.0,0.0
2113.0,1.0,1.0,2742.0,0.0
4001.0,3.0,0.41085714285714353,2759.0,0.0
4036.0,5.0,-0.2,4036.0,0.0
4038.0,1.0,0.0,2796.0,0.0
4046.0,5.0,-0.2,4046.0,0.0
4046.0,5.0,-0.4,4046.0,0.0
4072.0,5.0,-0.8,4072.0,0.0
4097.0,0.0,0.0,3047.0,0.0
4297.0,5.0,-0.2,4297.0,0.0
4298.0,5.0,-0.4,4298.0,0.0
4298.0,5.0,-0.8,4298.0,0.0
4298.0,5.0,-1.6,4298.0,0.0
4099.0,0.0,0.0,3049.0,0.0
3674.0,4.0,-3.2,2424.0,0.0
2413.0,1.0,1.0,3042.0,0.0
4292.0,5.0,-0.2,4292.0,0.0
4292.0,5.0,-0.4,4292.0,0.0
4276.0,1.0,0.11485714285714314,3034.0,0.0
4288.0,1.0,0.0,3046.0,0.0
3671.0,3.0,-1.0,3671.0,0.0
3472.0,2.0,0.8050000000000015,2947.0,0.0
4199.0,4.0,-0.2,4199.0,0.0
3799.0,0.0,0.0,2749.0,0.0
3999.0,5.0,-0.2,3999.0,0.0
3988.0,3.0,0.4902857142857166,2746.0,0.0
3397.0,3.0,-1.0,3397.0,0.0
3413.0,3.0,0.7324999999999999,2792.0,0.0
3417.0,3.0,-1.0,3417.0,0.0
3443.0,4.0,-0.4,2193.0,0.0
2193.0,3.0,-1.0,2193.0,0.0
2218.0,0.0,0.09750000000000014,2943.0,0.0
3568.0,3.0,-1.0,3568.0,0.0
3569.0,3.0,-1.0,3569.0,0.0
3569.0,3.0,-1.0,3569.0,0.0
3570.0,3.0,-1.0,3570.0,0.0
3551.0,3.0,0.8640000000000008,2930.0,0.0
3551.0,3.0,0.9105000000000008,2930.0,0.0
4180.0,5.0,-0.2,4180.0,0.0
4176.0,3.0,0.0,2934.0,0.0
3563.0,3.0,0.40600000000000236,2942.0,0.0
4192.0,5.0,-0.2,4192.0,0.0
4192.0,5.0,-0.4,4192.0,0.0
3793.0,0.0,0.0,2743.0,0.0
3993.0,3.0,-1.0,3993.0,0.0
3993.0,3.0,-1.0,3993.0,0.0
4019.0,4.0,-0.8,4019.0,0.0
4019.0,4.0,-0.2,4019.0,0.0
4020.0,5.0,-0.4,4020.0,0.0
4045.0,3.0,-1.0,4045.0,0.0
4045.0,3.0,-1.0,4045.0,0.0
4026.0,3.0,0.0,2784.0,0.0
3434.0,5.0,-0.2,3434.0,0.0
3435.0,3.0,-1.0,3435.0,0.0
3438.0,3.0,0.3254999999999981,2817.0,0.0
4092.0,0.0,0.0,3042.0,0.0
3467.0,0.0,0.0,1167.0,0.0
1792.0,3.0,-1.0,1792.0,0.0
1792.0,3.0,-1.0,1792.0,0.0
1792.0,3.0,-1.0,1792.0,0.0
1592.0,0.0,0.07349999999999923,1067.0,0.0
2318.0,4.0,-0.2,3568.0,0.0
3551.0,3.0,0.9079999999999995,2930.0,0.0
3551.0,3.0,1.0,2930.0,0.0
4182.0,3.0,-1.0,4182.0,0.0
4176.0,3.0,0.36228571428571443,2934.0,0.0
3563.0,3.0,0.641,2942.0,0.0
3167.0,0.0,0.0,867.0,0.0
1492.0,3.0,-1.0,1492.0,0.0
1492.0,3.0,-1.0,1492.0,0.0
1492.0,3.0,-1.0,1492.0,0.0
1493.0,3.0,-1.0,1493.0,0.0
1518.0,3.0,-1.0,1518.0,0.0
1518.0,3.0,-1.0,1518.0,0.0
1544.0,4.0,-0.2,1544.0,0.0
1570.0,4.0,-0.2,1570.0,0.0
1570.0,4.0,-0.4,1570.0,0.0
1570.0,4.0,-0.4,1570.0,0.0
1551.0,1.0,0.6574999999999989,930.0,0.0
1580.0,0.0,0.26250000000000107,1055.0,0.0
1908.0,0.0,0.0,2633.0,0.0
3876.0,1.0,0.0,2634.0,0.0
3888.0,1.0,0.0,2646.0,0.0
3296.0,3.0,-1.0,3296.0,0.0
3348.0,4.0,-0.2,2098.0,0.0
2098.0,3.0,-1.0,2098.0,0.0
2098.0,3.0,-1.0,2098.0,0.0
1924.0,0.0,0.0,2649.0,0.0
3263.0,3.0,0.609,2642.0,0.0
3267.0,3.0,-1.0,3267.0,0.0
3267.0,3.0,-1.0,3267.0,0.0
3267.0,3.0,-1.0,3267.0,0.0
3276.0,3.0,0.5849999999999991,2655.0,0.0
3281.0,3.0,-1.0,3281.0,0.0
3157.0,0.0,0.0,857.0,0.0
1483.0,3.0,-1.0,1483.0,0.0
1476.0,3.0,0.6855000000000011,855.0,0.0
1483.0,3.0,-1.0,1483.0,0.0
1476.0,3.0,0.6484999999999985,855.0,0.0
2106.0,3.0,-1.0,2106.0,0.0
2101.0,1.0,0.5544999999999991,2730.0,0.0
3376.0,3.0,0.5700000000000003,2755.0,0.0
3376.0,3.0,0.588499999999998,2755.0,0.0
3376.0,3.0,0.5479999999999983,2755.0,0.0
3406.0,3.0,-1.0,3406.0,0.0
3407.0,3.0,-1.0,3407.0,0.0
3401.0,3.0,0.5754999999999999,2780.0,0.0
3407.0,3.0,-1.0,3407.0,0.0
3401.0,3.0,0.5394999999999985,2780.0,0.0
4033.0,3.0,-1.0,4033.0,0.0
4051.0,3.0,0.0,2809.0,0.0
4061.0,3.0,-1.0,4061.0,0.0
4063.0,3.0,0.0,2821.0,0.0
4096.0,0.0,0.0,3046.0,0.0
3471.0,0.0,0.0,1171.0,0.0
1596.0,0.0,0.0,1071.0,0.0
2321.0,2.0,-1.0,2321.0,0.0
2321.0,2.0,-1.0,2321.0,0.0
2313.0,1.0,0.6980000000000022,2942.0,0.0
3567.0,3.0,-1.0,3567.0,0.0
3567.0,3.0,-1.0,3567.0,0.0
3551.0,3.0,0.75,2930.0,0.0
3558.0,3.0,-1.0,3558.0,0.0
3551.0,3.0,0.7140000000000004,2930.0,0.0
3558.0,3.0,-1.0,3558.0,0.0
3551.0,3.0,0.7220000000000013,2930.0,0.0
3551.0,3.0,0.8234999999999992,2930.0,0.0
4181.0,4.0,-0.2,4181.0,0.0
4181.0,4.0,-0.2,4181.0,0.0
4176.0,3.0,0.0,2934.0,0.0
3559.0,5.0,-0.2,3559.0,0.0
3559.0,5.0,-0.4,3559.0,0.0
3160.0,0.0,0.0,860.0,0.0
1485.0,5.0,-0.2,1485.0,0.0
1486.0,4.0,-0.8,1486.0,0.0
1487.0,3.0,-1.0,1487.0,0.0
1488.0,1.0,0.4085000000000001,867.0,0.0
2117.0,4.0,-1.6,3367.0,0.0
3393.0,3.0,-1.0,3393.0,0.0
3418.0,3.0,-1.0,3418.0,0.0
3419.0,3.0,-1.0,3419.0,0.0
3419.0,3.0,-1.0,3419.0,0.0
3419.0,3.0,-1.0,3419.0,0.0
3419.0,3.0,-1.0,3419.0,0.0
3419.0,3.0,-1.0,3419.0,0.0
3444.0,3.0,-1.0,3444.0,0.0
3470.0,0.0,0.0,1170.0,0.0
1595.0,0.0,0.0,1070.0,0.0
1676.0,1.0,0.9065000000000012,1055.0,0.0
1683.0,3.0,-1.0,1683.0,0.0
1676.0,1.0,0.8729999999999993,1055.0,0.0
1676.0,1.0,0.8345000000000002,1055.0,0.0
2307.0,3.0,-1.0,2307.0,0.0
2301.0,1.0,0.9379999999999971,2930.0,0.0
3551.0,3.0,0.9144999999999985,2930.0,0.0
3551.0,3.0,0.9479999999999986,2930.0,0.0
3557.0,3.0,-1.0,3557.0,0.0
3558.0,3.0,-1.0,3558.0,0.0
3558.0,3.0,-1.0,3558.0,0.0
3551.0,3.0,0.8989999999999991,2930.0,0.0
3555.0,4.0,-0.2,2305.0,0.0
2306.0,3.0,-1.0,2306.0,0.0
2306.0,3.0,-1.0,2306.0,0.0
1907.0,0.0,0.28749999999999964,2632.0,0.0
3251.0,3.0,0.9284999999999997,2630.0,0.0
3256.0,3.0,-1.0,3256.0,0.0
3256.0,3.0,-1.0,3256.0,0.0
3251.0,3.0,1.0,2630.0,0.0
3155.0,0.0,0.0,855.0,0.0
1483.0,3.0,-1.0,1483.0,0.0
1476.0,3.0,1.0,855.0,0.0
1480.0,3.0,-1.0,1480.0,0.0
1482.0,3.0,-1.0,1482.0,0.0
1476.0,3.0,1.0,855.0,0.0
1501.0,3.0,1.0,880.0,0.0
2126.0,1.0,0.895999999999999,2755.0,0.0
3381.0,3.0,-1.0,3381.0,0.0
3401.0,3.0,1.0,2780.0,0.0
4030.0,5.0,-0.2,4030.0,0.0
4031.0,5.0,-0.4,4031.0,0.0
4026.0,3.0,0.30057142857142644,2784.0,0.0
3409.0,5.0,-0.2,3409.0,0.0
3438.0,3.0,0.6309999999999967,2817.0,0.0
3442.0,3.0,-1.0,3442.0,0.0
3442.0,3.0,-1.0,3442.0,0.0
3467.0,0.0,0.0,1167.0,0.0
2217.0,0.0,0.05349999999999966,2942.0,0.0
