File,Execution Time [sec],Audio Length [sec]
output_1.txt,19.267,23.505
output_1.txt,2.515,2.96
output_1.txt,15.717,19.09
output_1.txt,10.607,12.66
output_1.txt,8.478,10.275
output_1.txt,11.641,14.17
output_1.txt,5.68,6.915
output_1.txt,5.327,6.39
output_1.txt,12.216,14.82
output_1.txt,2.864,3.435
output_1.txt,4.287,5.24
output_1.txt,4.098,4.985
output_1.txt,3.0,3.59
output_1.txt,9.839,12.07
output_1.txt,4.209,5.14
output_1.txt,4.548,5.515
output_1.txt,14.441,17.415
output_1.txt,6.369,7.72
output_1.txt,7.543,9.21
output_1.txt,8.69,10.515
output_1.txt,2.808,3.405
output_1.txt,5.538,6.665
output_1.txt,2.135,2.61
output_1.txt,2.195,2.675
output_1.txt,4.456,5.44
output_1.txt,13.9,16.91
output_1.txt,6.553,7.93
output_1.txt,14.926,18.145
output_1.txt,3.032,3.68
output_1.txt,4.825,5.89
output_10.txt,12.023,14.65
output_10.txt,13.827,16.595
output_10.txt,2.762,3.345
output_10.txt,6.764,8.23
output_10.txt,7.286,8.875
output_10.txt,3.688,4.395
output_10.txt,8.879,10.815
output_10.txt,5.263,6.41
output_10.txt,7.019,8.485
output_10.txt,2.449,2.97
output_10.txt,4.028,4.855
output_10.txt,16.416,19.91
output_10.txt,8.024,9.645
output_10.txt,3.743,4.445
output_10.txt,4.612,5.6
output_10.txt,9.635,11.65
output_10.txt,2.402,2.885
output_10.txt,12.463,15.03
output_10.txt,1.748,2.15
output_10.txt,6.943,8.415
output_10.txt,5.064,6.165
output_10.txt,7.584,9.205
output_10.txt,5.388,6.56
output_10.txt,2.941,3.525
output_10.txt,14.52,17.64
output_10.txt,3.273,3.91
output_10.txt,4.085,4.905
output_10.txt,3.649,4.395
output_10.txt,5.43,6.565
output_10.txt,3.649,4.49
output_11.txt,11.821,14.24
output_11.txt,3.652,4.39
output_11.txt,24.867,30.04
output_11.txt,11.077,13.34
output_11.txt,2.794,3.345
output_11.txt,12.424,15.11
output_11.txt,9.016,10.9
output_11.txt,2.346,2.78
output_11.txt,2.488,3.005
output_11.txt,10.361,12.54
output_11.txt,4.174,5.07
output_11.txt,1.75,2.065
output_11.txt,4.166,5.08
output_11.txt,6.601,7.95
output_11.txt,5.141,6.155
output_11.txt,5.743,6.905
output_11.txt,4.615,5.555
output_11.txt,4.339,5.35
output_11.txt,1.939,2.36
output_11.txt,7.13,8.69
output_11.txt,4.779,5.825
output_11.txt,5.814,6.99
output_11.txt,5.212,6.315
output_11.txt,9.861,12.025
output_11.txt,11.718,14.175
output_11.txt,3.297,3.995
output_11.txt,3.209,3.87
output_11.txt,2.992,3.64
output_11.txt,5.105,6.195
output_11.txt,7.833,9.575
output_12.txt,19.346,23.06
output_12.txt,15.319,18.545
output_12.txt,8.101,9.76
output_12.txt,13.378,15.995
output_12.txt,1.98,2.375
output_12.txt,4.379,5.3
output_12.txt,25.63,30.615
output_12.txt,2.997,3.595
output_12.txt,13.011,15.875
output_12.txt,7.115,8.605
output_12.txt,2.024,2.39
output_12.txt,5.386,6.44
output_12.txt,6.979,8.505
output_12.txt,6.047,7.26
output_12.txt,10.22,12.21
output_12.txt,9.789,11.945
output_12.txt,7.605,9.225
output_12.txt,3.492,4.215
output_12.txt,12.348,15.03
output_12.txt,2.127,2.555
output_12.txt,4.028,4.815
