File,Execution Time [sec],Audio Length [sec]
output_21.txt,1.229,5.115
output_21.txt,1.455,6.285
output_21.txt,1.707,6.995
output_21.txt,0.819,2.9
output_21.txt,0.748,2.62
output_21.txt,1.436,6.125
output_21.txt,1.701,7.26
output_21.txt,1.262,5.53
output_21.txt,1.522,6.525
output_21.txt,3.138,15.42
output_21.txt,0.987,3.895
output_21.txt,1.082,4.355
output_21.txt,3.203,15.21
output_21.txt,0.67,2.335
output_21.txt,4.549,20.185
output_21.txt,3.679,17.43
output_21.txt,3.037,14.375
output_21.txt,1.53,6.795
output_21.txt,1.254,5.25
output_21.txt,0.996,4.155
output_21.txt,1.446,6.26
output_21.txt,1.365,6.23
output_21.txt,3.25,15.19
output_21.txt,1.512,6.56
output_21.txt,1.438,6.34
output_21.txt,4.279,20.005
output_22.txt,0.607,2.0
output_22.txt,0.72,2.655
output_22.txt,1.415,5.985
output_22.txt,0.715,2.555
output_22.txt,0.66,2.385
output_22.txt,2.384,11.48
output_22.txt,1.101,4.18
output_22.txt,1.605,6.905
output_22.txt,0.752,2.84
output_22.txt,2.007,8.825
output_22.txt,2.601,11.955
output_22.txt,1.776,7.835
output_22.txt,1.086,4.65
output_22.txt,0.832,3.26
output_22.txt,1.124,4.765
output_22.txt,3.457,15.76
output_22.txt,0.673,2.335
output_22.txt,1.397,5.88
output_22.txt,0.608,2.02
output_22.txt,1.998,8.94
output_22.txt,0.981,4.015
output_22.txt,0.944,3.635
output_22.txt,0.661,2.295
output_22.txt,1.066,4.465
output_22.txt,1.915,8.745
output_22.txt,2.776,13.42
output_22.txt,3.85,18.73
output_22.txt,2.779,12.845
output_22.txt,0.665,2.35
output_22.txt,1.333,5.775
output_23.txt,0.919,3.705
output_23.txt,4.824,23.505
output_23.txt,4.071,19.09
output_23.txt,3.486,16.27
output_23.txt,3.11,14.055
output_23.txt,1.605,7.0
output_23.txt,1.206,5.07
output_23.txt,0.89,3.42
output_23.txt,1.671,7.335
output_23.txt,1.723,7.83
output_23.txt,1.158,4.665
output_23.txt,1.093,4.55
output_23.txt,1.551,6.775
output_23.txt,2.774,12.51
output_23.txt,2.002,9.21
output_23.txt,1.916,8.705
output_23.txt,1.934,8.8
output_23.txt,1.639,6.99
output_23.txt,0.699,2.39
output_23.txt,0.622,2.155
output_23.txt,1.062,4.38
output_23.txt,1.695,7.17
output_23.txt,1.597,7.25
output_23.txt,0.935,3.87
output_23.txt,3.823,18.145
output_23.txt,3.563,16.695
output_23.txt,0.71,2.555
output_23.txt,0.614,2.155
output_23.txt,1.302,5.77
output_23.txt,1.317,5.89
output_24.txt,1.787,7.97
output_24.txt,4.984,25.395
output_24.txt,0.971,3.835
output_24.txt,1.615,6.795
output_24.txt,0.814,2.955
output_24.txt,0.909,3.395
output_24.txt,2.26,10.35
output_24.txt,0.533,1.74
output_24.txt,2.105,9.73
output_24.txt,1.057,4.16
output_24.txt,2.469,10.97
output_24.txt,0.591,1.995
output_24.txt,0.946,3.885
output_24.txt,2.199,10.02
output_24.txt,0.837,3.26
output_24.txt,1.093,4.55
output_24.txt,0.666,2.3
output_24.txt,1.849,8.2
output_24.txt,4.556,20.185
output_24.txt,0.557,1.905
output_24.txt,1.728,7.405
output_24.txt,2.903,13.96
output_24.txt,0.699,2.39
output_24.txt,2.427,11.33
output_24.txt,0.796,3.125
output_24.txt,1.562,6.775
output_24.txt,3.854,18.73
output_24.txt,1.426,5.895
output_24.txt,1.394,6.18
output_24.txt,1.667,7.795
output_25.txt,2.984,13.93
output_25.txt,1.587,6.75
output_25.txt,0.929,3.78
output_25.txt,2.006,8.51
output_25.txt,2.286,10.085
output_25.txt,0.988,3.97
output_25.txt,0.738,2.79
output_25.txt,0.47,1.42
output_25.txt,3.336,15.875
output_25.txt,0.542,1.81
output_25.txt,3.488,16.04
output_25.txt,1.22,4.88
output_25.txt,5.523,25.985
output_25.txt,1.924,8.26
output_25.txt,1.638,7.34
output_25.txt,1.119,4.53
output_25.txt,4.655,22.5
output_25.txt,1.485,6.35
output_25.txt,2.292,10.515
output_25.txt,1.37,6.075
