Execution Time [sec],size
12.40778565,95
1.027346611,95
1.032149553,95
1.018315554,95
1.184758425,95
0.998927116,95
1.029988527,95
1.009162188,95
0.991319895,95
1.016218901,95
1.012778759,95
1.021151781,95
1.01106143,95
0.992877245,95
1.004782677,95
1.009301424,95
1.037987232,95
0.995923042,95
1.293437243,95
1.046299934,95
1.009702206,95
1.007225037,95
1.02449894,95
1.034750462,95
1.020806551,95
1.005345345,95
1.040231228,95
0.999484777,95
1.001082897,95
1.00564599,95
1.915865421,379
1.834231377,379
1.798795223,379
2.130387306,379
1.820289373,379
1.791283369,379
1.825455904,379
1.790129423,379
1.816614389,379
1.812470675,379
1.806747437,379
1.802106619,379
1.771994114,379
1.779802799,379
1.812603474,379
1.793234348,379
1.773814678,379
2.07223177,379
1.813818455,379
1.819022894,379
1.771986008,379
1.814719439,379
1.800971031,379
1.802908897,379
1.812787056,379
1.798692703,379
1.826273203,379
1.797673702,379
1.789250374,379
1.816923141,379
2.035953522,387
2.059511662,387
2.340153694,387
2.071650267,387
2.02532959,387
2.048887491,387
2.039203644,387
2.013756514,387
2.022756338,387
2.024930239,387
2.040193796,387
2.026596546,387
2.022897005,387
2.002329111,387
1.987224579,387
2.046384335,387
2.42404294,387
2.027587652,387
2.005505085,387
2.019757271,387
2.041612148,387
2.050057173,387
2.037012577,387
2.023719549,387
2.012474537,387
2.007662535,387
2.01551795,387
2.005545378,387
2.042544603,387
2.014733315,387
1.328435183,30
0.962267399,30
0.956769228,30
1.023453712,30
0.960571766,30
0.95366025,30
0.938579321,30
0.953304529,30
0.932519436,30
0.95522809,30
0.950031519,30
0.961279631,30
0.935964346,30
1.294005394,30
0.963836432,30
0.94762063,30
0.940083981,30
0.943668604,30
0.953550577,30
0.935335875,30
0.965698004,30
0.936849833,30
0.95643568,30
0.942915916,30
0.9453969,30
0.944249153,30
1.329820871,30
0.98079133,30
0.96446085,30
0.985322952,30
1.018735647,120
1.037979841,120
0.987488031,120
0.966133595,120
0.975612879,120
0.97817564,120
1.002424002,120
0.963993788,120
0.964010715,120
1.016972065,120
1.380898952,120
0.988611698,120
1.002009869,120
1.006049871,120
1.008411646,120
0.986819029,120
1.004251719,120
1.001049519,120
0.97313571,120
0.975526094,120
1.000207901,120
0.969061136,120
1.40602088,120
0.994265318,120
0.992733955,120
0.982532024,120
0.978521109,120
0.985655785,120
0.998965502,120
1.019039154,120
1.108868361,28
1.018555403,28
1.01431179,28
1.073185921,28
1.055360317,28
1.466143847,28
1.035365105,28
1.064950943,28
1.031781435,28
1.0663414,28
1.05269289,28
1.037824392,28
1.047617197,28
1.029782772,28
1.035140753,28
1.025230885,28
1.019494057,28
1.452163696,28
1.058942556,28
1.061722279,28
1.053756952,28
1.024495363,28
1.03102541,28
1.015594959,28
1.035473585,28
1.028969288,28
1.011891842,28
1.032760382,28
1.018520832,28
1.474696159,28
1.488867998,169
1.425069094,169
1.437288761,169
1.42920208,169
1.442465305,169
1.437247992,169
1.41737175,169
1.434819698,169
1.422164679,169
1.431399345,169
1.892108917,169
1.455510139,169
1.448171616,169
1.475586891,169
1.441316128,169
1.454083204,169
1.485697031,169
1.429010868,169
1.428123951,169
1.442239523,169
1.894026041,169
1.433570623,169
1.43667984,169
1.426153898,169
1.419553041,169
1.418004036,169
1.442492723,169
1.410525799,169
1.42388773,169
1.407001972,169
1.33561492,214
1.840816498,214
1.3249681,214
1.336591959,214
1.318963051,214
1.342953682,214
1.307659388,214
1.327457905,214
1.296028614,214
1.332731247,214
1.319630861,214
1.301777124,214
1.824590683,214
1.32111311,214
1.33103919,214
1.311200142,214
1.346282959,214
1.328852415,214
1.336993456,214
1.315804005,214
1.313438654,214
1.303560972,214
1.81608057,214
1.344360113,214
1.336127758,214
1.322973967,214
1.315351725,214
1.314029455,214
1.334723234,214
1.311868906,214
1.97982502,512
1.949012995,512
2.440631866,512
1.960939169,512
1.925749302,512
1.958963871,512
1.932445765,512
1.922922611,512
1.924675941,512
1.934481144,512
1.96596241,512
1.926178694,512
1.956190825,512
2.517744303,512
1.996644258,512
1.935359955,512
1.958975792,512
1.933564425,512
1.930195093,512
1.920581341,512
1.923769712,512
1.931868076,512
2.469602346,512
1.983322144,512
1.940508127,512
1.989650488,512
1.967256784,512
1.983887911,512
1.942685127,512
1.932346106,512
1.439728737,157
1.486666441,157
1.957251072,157
1.436474323,157
1.412036896,157
1.420235395,157
1.414638758,157
1.435476065,157
1.413565397,157
1.435966492,157
1.403065681,157
1.416861534,157
2.007043362,157
1.418283463,157
1.448038578,157
1.426250219,157
1.453082085,157
1.407896757,157
1.438298225,157
1.422687054,157
1.407265902,157
1.409540653,157
2.009586573,157
1.446665287,157
1.436645508,157
1.398477793,157
1.45478034,157
1.407401085,157
1.422041655,157
1.425972939,157
1.869820356,559
2.332696676,559
1.812060356,559
1.749441147,559
1.791293859,559
1.763746023,559
1.777692556,559
1.766632318,559
1.764692783,559
1.764252424,559
1.765455961,559
2.397044182,559
1.820194483,559
1.791890383,559
1.784703016,559
1.790656805,559
1.773996353,559
1.755557299,559
1.758557558,559
1.770416737,559
2.374280691,559
1.813158751,559
1.800601721,559
1.77936554,559
1.821876287,559
1.863963366,559
1.835260868,559
1.81662941,559
1.851940632,559
2.445990562,559
2.227630377,498
2.179109573,498
2.107698202,498
2.121998787,498
2.186048031,498
2.134039879,498
2.157685995,498
2.128324509,498
2.143963575,498
2.781598806,498
2.162305832,498
2.14211297,498
2.190939665,498
2.145058155,498
2.14559412,498
2.12052989,498
2.123021841,498
2.158708334,498
2.75842452,498
2.125933409,498
2.137991667,498
2.103363276,498
2.119263887,498
2.146750212,498
2.096591949,498
2.090654373,498
2.112296343,498
2.807751894,498
2.16378808,498
2.1155653,498
1.093216658,7
1.082796097,7
1.08745718,7
1.084324837,7
1.062480927,7
1.050925732,7
1.724815369,7
