,EE-energy_consumption,EE-completion,MM-energy_consumption,MM-completion,RLS-energy_consumption,RLS-completion
,19.4,63.3,20,41.5,,
,18,58.9,18,37.3,,
,16,51.1,16,32.9,,
,14,43.5,14,28.7,,
,12,35.5,12,24.6,,
,10,27.2,10,20.5,,
,8,18.9,8,15.8,,
,6,11.8,6,10.6,,
,4,6.6,4,6.1,,
