Episode,total_no_of_tasks,mapped,offloaded,cancelled,Completion%,xCompletion%,totalCompletion%,URG_missed,BE_missed,consumed_energy%
0,1000,999,0,0,4.6,1.9,6.5,0,934,99.33524537037034
1,1000,999,0,0,4.6,2.1999999999999997,6.799999999999999,0,931,94.46662962962965
2,1000,999,0,0,3.9,2.1999999999999997,6.1,0,938,98.67498611111112
3,1000,999,0,0,2.4,1.7999999999999998,4.199999999999999,0,957,88.13821296296287
4,1000,999,0,0,6.9,2.3,9.2,0,907,98.54137962962962
5,1000,1000,0,0,3.4000000000000004,2.9000000000000004,6.300000000000001,0,937,98.31036574074083
6,1000,999,0,0,4.2,1.0,5.2,0,947,90.16743055555555
7,1000,999,0,0,3.5000000000000004,2.1,5.6000000000000005,0,943,93.91164351851859
8,1000,999,0,0,5.1,1.4000000000000001,6.5,0,934,94.61446296296299
9,1000,999,0,0,4.3,1.3,5.6,0,943,88.76370370370357
10,1000,1000,0,0,7.7,1.4000000000000001,9.1,0,907,100.20818518518514
11,1000,999,0,0,2.0,2.8000000000000003,4.800000000000001,0,951,88.906824074074
12,1000,999,0,0,3.1,1.6,4.7,0,952,90.92325462962962
13,1000,999,0,0,5.5,2.1999999999999997,7.699999999999999,0,921,99.61745833333327
14,1000,989,0,0,3.9,2.5,6.4,0,924,99.56214351851858
15,1000,999,0,0,2.5,2.4,4.9,0,950,92.02270833333317
16,1000,999,0,0,3.9,2.9000000000000004,6.800000000000001,0,931,96.33912500000005
17,1000,999,0,0,3.5000000000000004,1.2,4.7,0,952,85.30431018518514
18,1000,999,0,0,3.9,2.1,6.0,0,939,98.66914351851858
19,1000,999,0,0,5.4,1.3,6.7,0,932,90.2175740740739
20,1000,999,0,0,6.1,1.7000000000000002,7.8,0,921,96.16185648148138
21,1000,999,0,0,5.0,2.3,7.3,0,926,98.11349074074077
22,1000,968,0,0,5.800000000000001,3.1,8.9,0,877,99.66069907407407
23,1000,999,0,0,4.3999999999999995,1.4000000000000001,5.8,0,941,93.21488888888891
24,1000,999,0,0,5.3,1.0999999999999999,6.3999999999999995,0,935,99.47000000000004
25,1000,999,0,0,6.0,1.3,7.3,0,926,92.68362037037026
26,1000,998,0,0,6.5,2.1,8.6,0,911,99.52409259259265
27,1000,965,0,0,6.800000000000001,2.6,9.4,0,869,99.6196481481482
28,1000,999,0,0,4.0,1.7000000000000002,5.7,0,942,91.66517592592606
29,1000,999,0,0,3.2,0.5,3.7,0,962,74.80893518518515
