etc_id,H_index
0.0,10.52
1.0,28.23
2.0,10.71
3.0,12.89
4.0,1.7
5.0,9.92
6.0,9.86
7.0,20.38
8.0,19.41
9.0,9.76
10.0,1.71
11.0,19.55
12.0,11.53
13.0,1.72
14.0,19.87
15.0,9.92
16.0,1.71
17.0,9.9
18.0,18.43
19.0,19.7
20.0,20.64
21.0,1.74
22.0,11.4
23.0,29.07
24.0,9.78
25.0,18.86
26.0,18.86
27.0,2.48
28.0,11.31
29.0,10.06
30.0,28.51
31.0,18.77
32.0,37.18
33.0,11.6
34.0,1.7
35.0,1.04
36.0,9.92
37.0,11.37
38.0,29.78
39.0,2.48
40.0,10.39
41.0,10.45
42.0,10.47
43.0,10.73
44.0,10.49
45.0,9.59
46.0,10.52
47.0,1.73
48.0,10.61
49.0,10.58
50.0,21.63
51.0,9.98
52.0,19.51
53.0,12.2
54.0,19.04
55.0,11.27
56.0,12.29
57.0,10.69
58.0,21.02
59.0,29.72
60.0,20.47
61.0,9.83
62.0,10.59
63.0,1.73
64.0,11.4
65.0,11.52
66.0,10.57
67.0,3.31
68.0,10.52
69.0,2.48
70.0,19.14
71.0,9.77
72.0,13.04
73.0,19.77
74.0,1.7
75.0,21.59
76.0,1.73
77.0,1.03
78.0,11.36
79.0,10.57
80.0,19.37
81.0,9.92
82.0,1.72
83.0,20.31
84.0,10.61
85.0,1.03
86.0,18.89
87.0,10.08
88.0,11.32
89.0,1.72
90.0,10.76
91.0,11.7
92.0,1.04
93.0,3.23
94.0,13.08
95.0,10.76
96.0,10.48
97.0,3.3
98.0,10.01
99.0,9.69
