BQ-3,BQ-2,BQ-1,m1_slot1,m1_running_TT,m2_slot1,m2_running_TT
-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,1
-1,-1,-1,-1,-1,1,1
-1,-1,-1,-1,-1,2,1
-1,-1,-1,-1,-1,-1,2
-1,-1,-1,-1,-1,1,2
-1,-1,-1,-1,-1,2,2
-1,-1,-1,-1,1,-1,-1
-1,-1,-1,-1,1,-1,1
-1,-1,-1,-1,1,1,1
-1,-1,-1,-1,1,2,1
-1,-1,-1,-1,1,-1,2
-1,-1,-1,-1,1,1,2
-1,-1,-1,-1,1,2,2
-1,-1,-1,1,1,-1,-1
-1,-1,-1,1,1,-1,1
-1,-1,-1,1,1,1,1
-1,-1,-1,1,1,2,1
-1,-1,-1,1,1,-1,2
-1,-1,-1,1,1,1,2
-1,-1,-1,1,1,2,2
-1,-1,-1,2,1,-1,-1
-1,-1,-1,2,1,-1,1
-1,-1,-1,2,1,1,1
-1,-1,-1,2,1,2,1
-1,-1,-1,2,1,-1,2
-1,-1,-1,2,1,1,2
-1,-1,-1,2,1,2,2
-1,-1,-1,-1,2,-1,-1
-1,-1,-1,-1,2,-1,1
-1,-1,-1,-1,2,1,1
-1,-1,-1,-1,2,2,1
-1,-1,-1,-1,2,-1,2
-1,-1,-1,-1,2,1,2
-1,-1,-1,-1,2,2,2
-1,-1,-1,1,2,-1,-1
-1,-1,-1,1,2,-1,1
-1,-1,-1,1,2,1,1
-1,-1,-1,1,2,2,1
-1,-1,-1,1,2,-1,2
-1,-1,-1,1,2,1,2
-1,-1,-1,1,2,2,2
-1,-1,-1,2,2,-1,-1
-1,-1,-1,2,2,-1,1
-1,-1,-1,2,2,1,1
-1,-1,-1,2,2,2,1
-1,-1,-1,2,2,-1,2
-1,-1,-1,2,2,1,2
-1,-1,-1,2,2,2,2
-1,-1,1,-1,-1,-1,-1
-1,-1,1,-1,-1,-1,1
-1,-1,1,-1,-1,1,1
-1,-1,1,-1,-1,2,1
-1,-1,1,-1,-1,-1,2
-1,-1,1,-1,-1,1,2
-1,-1,1,-1,-1,2,2
-1,-1,1,-1,1,-1,-1
-1,-1,1,-1,1,-1,1
-1,-1,1,-1,1,1,1
-1,-1,1,-1,1,2,1
-1,-1,1,-1,1,-1,2
-1,-1,1,-1,1,1,2
-1,-1,1,-1,1,2,2
-1,-1,1,1,1,-1,-1
-1,-1,1,1,1,-1,1
-1,-1,1,1,1,1,1
-1,-1,1,1,1,2,1
-1,-1,1,1,1,-1,2
-1,-1,1,1,1,1,2
-1,-1,1,1,1,2,2
-1,-1,1,2,1,-1,-1
-1,-1,1,2,1,-1,1
-1,-1,1,2,1,1,1
-1,-1,1,2,1,2,1
-1,-1,1,2,1,-1,2
-1,-1,1,2,1,1,2
-1,-1,1,2,1,2,2
-1,-1,1,-1,2,-1,-1
-1,-1,1,-1,2,-1,1
-1,-1,1,-1,2,1,1
-1,-1,1,-1,2,2,1
-1,-1,1,-1,2,-1,2
-1,-1,1,-1,2,1,2
-1,-1,1,-1,2,2,2
-1,-1,1,1,2,-1,-1
-1,-1,1,1,2,-1,1
-1,-1,1,1,2,1,1
-1,-1,1,1,2,2,1
-1,-1,1,1,2,-1,2
-1,-1,1,1,2,1,2
-1,-1,1,1,2,2,2
-1,-1,1,2,2,-1,-1
-1,-1,1,2,2,-1,1
-1,-1,1,2,2,1,1
-1,-1,1,2,2,2,1
-1,-1,1,2,2,-1,2
-1,-1,1,2,2,1,2
-1,-1,1,2,2,2,2
-1,1,1,-1,-1,-1,-1
-1,1,1,-1,-1,-1,1
-1,1,1,-1,-1,1,1
-1,1,1,-1,-1,2,1
-1,1,1,-1,-1,-1,2
-1,1,1,-1,-1,1,2
-1,1,1,-1,-1,2,2
-1,1,1,-1,1,-1,-1
-1,1,1,-1,1,-1,1
-1,1,1,-1,1,1,1
-1,1,1,-1,1,2,1
-1,1,1,-1,1,-1,2
-1,1,1,-1,1,1,2
-1,1,1,-1,1,2,2
-1,1,1,1,1,-1,-1
-1,1,1,1,1,-1,1
-1,1,1,1,1,1,1
-1,1,1,1,1,2,1
-1,1,1,1,1,-1,2
-1,1,1,1,1,1,2
-1,1,1,1,1,2,2
-1,1,1,2,1,-1,-1
-1,1,1,2,1,-1,1
-1,1,1,2,1,1,1
-1,1,1,2,1,2,1
-1,1,1,2,1,-1,2
-1,1,1,2,1,1,2
