Episode,total_no_of_tasks,mapped,offloaded,cancelled,Completion%,xCompletion%,URG_missed,BE_missed,available_energy
0,1000,1000,0,0,52.6,30.2,0,172,26.405808333333162
1,1000,1000,0,0,56.39999999999999,27.1,0,165,25.62217611111112
2,1000,1000,0,0,49.8,32.4,0,178,26.569129444444343
3,1000,1000,0,0,64.60000000000001,20.1,0,153,25.802766111111097
4,1000,1000,0,0,55.800000000000004,26.900000000000002,0,173,25.77631055555559
5,1000,1000,0,0,58.099999999999994,25.7,0,162,26.232042777777725
6,1000,1000,0,0,45.5,34.5,0,200,26.185067222222276
7,1000,1000,0,0,51.4,30.8,0,178,26.073484999999955
8,1000,1000,0,0,52.300000000000004,29.2,0,185,26.92564333333335
9,1000,1000,0,0,50.2,31.0,0,188,25.811639999999976
10,1000,1000,0,0,57.699999999999996,24.099999999999998,0,182,26.63412611111112
11,1000,1000,0,0,65.2,20.0,0,148,25.79109722222229
12,1000,1000,0,0,57.099999999999994,27.800000000000004,0,151,25.55060277777772
13,1000,1000,0,0,56.599999999999994,27.200000000000003,0,162,25.9939661111112
14,1000,1000,0,0,52.5,29.5,0,180,26.73196611111103
15,1000,1000,0,0,43.4,35.3,0,213,27.120271111111208
16,1000,1000,0,0,56.89999999999999,27.400000000000002,0,157,25.461647777777763
17,1000,1000,0,0,47.9,33.2,0,189,26.754788333333348
18,1000,1000,0,0,58.4,25.1,0,165,26.15487888888885
19,1000,1000,0,0,52.900000000000006,30.9,0,162,26.127167777777835
20,1000,1000,0,0,49.7,32.0,0,183,26.708153333333303
21,1000,1000,0,0,50.6,30.9,0,185,26.30916611111104
22,1000,1000,0,0,60.699999999999996,24.3,0,150,25.30874833333328
23,1000,1000,0,0,61.6,23.0,0,154,24.925548888888837
24,1000,1000,0,0,51.800000000000004,30.7,0,175,26.154997222222303
25,1000,1000,0,0,50.3,30.9,0,188,26.28682055555548
26,1000,1000,0,0,50.1,30.4,0,195,26.275266666666656
27,1000,1000,0,0,49.8,31.6,0,186,27.304648888888952
28,1000,1000,0,0,50.1,31.0,0,189,26.23760388888887
29,1000,1000,0,0,59.199999999999996,25.6,0,152,25.657218888888835
