Episode,total_no_of_tasks,mapped,offloaded,cancelled,Completion%,xCompletion%,totalCompletion%,URG_missed,BE_missed,consumed_energy%
70,1000,999,0,0,0.7000000000000001,0.8,1.5,0,984,5.867201111111009
71,1000,999,0,0,0.3,1.4000000000000001,1.7000000000000002,0,982,5.5022944444442
72,1000,999,0,0,2.1999999999999997,4.5,6.699999999999999,0,932,6.444062222222113
73,1000,999,0,0,1.7000000000000002,12.4,14.100000000000001,0,858,9.238226666666504
74,1000,999,0,0,1.5,19.0,20.5,0,794,13.981597777777077
75,1000,999,0,0,2.1999999999999997,15.5,17.7,0,822,13.56263222222176
76,1000,999,0,0,0.6,1.7999999999999998,2.4,0,975,4.944847777778049
77,1000,999,0,0,0.4,13.4,13.8,0,861,12.125959999999324
78,1000,999,0,0,0.7000000000000001,1.6,2.3000000000000003,0,976,5.524812222221886
79,1000,999,0,0,1.0999999999999999,7.199999999999999,8.299999999999999,0,916,7.4328399999997075
80,1000,999,0,0,1.0999999999999999,17.1,18.200000000000003,0,817,12.541455555554448
81,1000,999,0,0,0.2,4.5,4.7,0,952,6.271238888888664
82,1000,999,0,0,0.8999999999999999,3.4000000000000004,4.300000000000001,0,956,6.613816666666628
83,1000,999,0,0,1.5,0.7000000000000001,2.2,0,977,5.42654666666591
84,1000,999,0,0,0.5,4.8,5.3,0,946,7.450946666666325
85,1000,1000,0,0,1.0,0.2,1.2,0,988,5.503104444444384
86,1000,999,0,0,0.1,1.3,1.4000000000000001,0,985,5.136721111111098
87,1000,999,0,0,0.0,1.9,1.9,0,980,4.718496666666683
88,1000,999,0,0,0.3,0.3,0.6,0,993,4.766288888888937
89,1000,999,0,0,1.3,4.6,5.8999999999999995,0,940,6.409277777777966
90,1000,999,0,0,0.1,0.8,0.9,0,990,4.87718444444456
91,1000,999,0,0,2.0,18.5,20.5,0,794,13.649606666665637
92,1000,1000,0,0,0.3,0.7000000000000001,1.0,0,990,5.707795555555595
93,1000,999,0,0,0.5,3.4000000000000004,3.9000000000000004,0,960,5.955065555554806
94,1000,1000,0,0,0.6,3.0,3.6,0,964,5.9138199999997365
95,1000,999,0,0,0.5,1.2,1.7,0,982,5.114563333332722
96,1000,999,0,0,0.5,3.6999999999999997,4.199999999999999,0,957,6.055633333333277
97,1000,999,0,0,1.4000000000000001,18.9,20.299999999999997,0,796,14.385499999999274
98,1000,999,0,0,0.4,6.6000000000000005,7.000000000000001,0,929,8.684997777777514
99,1000,992,0,0,1.0,2.8000000000000003,3.8000000000000003,0,954,6.329668888888895
100,1000,1000,0,0,0.7000000000000001,3.0,3.7,0,963,6.1579488888893525
101,1000,999,0,0,1.0,1.4000000000000001,2.4000000000000004,0,975,6.133958888888658
102,1000,999,0,0,2.1,20.5,22.6,0,773,14.161622222221803
103,1000,999,0,0,1.6,21.2,22.8,0,771,14.539438888888323
104,1000,999,0,0,2.7,16.7,19.4,0,805,13.716555555554477
