Action,Rewards
2,1.9999877777777777
2,1.9999877777777777
1,0.9988969252476587
0,-0.1
2,0.9996989468086376
1,1.9980596324248767
1,0.999763385082579
2,1.9999872667759238
4,1.0
2,0.9996171892414971
1,0.9997254901318458
3,-1
2,1.9999872337877265
1,0.9979072313099581
1,0.9987605373139589
4,1.0
0,-0.1
3,-10
2,0.9998262510721312
0,-0.1
4,2.0
2,1.999987115537583
0,-0.1
4,2.0
2,1.9999870525021166
1,1.9979904532837058
4,2.0
2,1.999986864131125
0,-0.1
1,1.9978317911922814
0,-0.1
2,1.9999867800178495
0,-0.1
1,1.9979696977834986
2,1.999986774573317
1,1.9978896931554848
2,1.9999867728800718
2,1.999986772317013
2,1.9999866334092358
2,1.9999866314489516
2,1.9999866290683883
2,1.9999866284341954
2,1.9999866206213819
2,1.9999866180496741
2,1.9999865141824935
2,1.9999864888091623
2,1.9999864859019392
2,1.9999864847598958
2,1.9999864666298857
2,1.9999863594604348
2,1.9999863552971138
2,1.9999863353962484
2,1.999986317011784
2,1.999986316225037
2,1.9999863161982303
2,1.9999863064599372
2,1.9999863031119702
2,1.9999862935060158
2,1.9999862758760723
2,1.9999862301484799
2,1.9999862243850672
2,1.9999862135538502
2,1.9999861998963846
2,1.9999861998222583
2,1.9999860511889478
2,1.9999861879910996
2,1.9999859943480258
2,1.9999861091288724
2,1.9999859583608885
2,1.9999860846760191
2,1.9999860815416561
2,1.999985939904849
2,1.9999860710275785
2,1.9999860646656227
2,1.9999860618013738
2,1.9999860541585108
2,1.9999860410361932
2,1.9999860409223271
2,1.9999860352315384
2,1.999986015914448
2,1.999985872084628
2,1.9999860036237052
2,1.9999860024803378
2,1.9999859978599388
2,1.9999859784676999
2,1.9999859733331025
2,1.9999859604978072
2,1.9999859561458841
2,1.9999859547763257
2,1.9999858018259506
2,1.9999859406174962
2,0.9995233407054103
2,0.9996715113138449
2,0.9998281564163617
2,0.9997957133294291
2,-20
2,-20
2,-20
2,-20
2,-20
2,-20
2,-20
2,-20
2,-20
2,-20
2,-20
2,-20
2,-20
2,-20
2,-20
2,-20
2,-20
2,-20
2,-20
2,-20
2,-20
2,-20
2,-20
2,-20
2,-20
2,-20
2,-20
2,-20
2,-20
2,0.9994657435906836
2,-20
2,-20
2,-20
2,-20
2,-20
2,-20
2,-20
2,-20
2,-20
2,-20
2,-20
2,-20
2,-20
2,-20
2,-20
2,-20
2,-20
2,-20
2,-20
2,-20
2,-20
2,-20
2,-20
2,-20
2,0.9996468676753323
2,-20
2,-20
2,-20
2,-20
2,-20
2,-20
2,-20
2,-20
2,-20
2,-20
2,-20
2,-20
2,-20
2,-20
2,-20
2,0.9997694615108053
2,-20
2,-20
2,-20
2,-20
2,-20
2,-20
2,-20
2,-20
2,-20
2,0.9998039318163611
2,-20
2,-20
2,-20
2,-20
2,-20
2,-20
2,-20
2,-20
2,-20
2,-20
2,-20
2,-20
2,-20
2,-20
2,-20
2,-20
2,-20
2,-20
2,-20
2,-20
2,-20
2,-20
2,-20
2,-20
2,-20
2,-20
2,-20
2,-20
2,-20
2,-20
2,-20
2,0.9995979719038961
2,-20
2,-20
2,-20
2,-20
2,-20
2,-20
2,-20
2,-20
2,-20
2,-20
2,-20
2,-20
2,-20
2,-20
2,0.999381763593805
2,-20
2,-20
2,-20
2,-20
2,-20
2,-20
2,-20
2,-20
2,-20
2,-20
2,-20
2,-20
2,-20
2,-20
2,-20
2,-20
2,-20
2,-20
2,-20
2,-20
2,-20
2,0.9995183619719412
2,-20
2,-20
2,-20
2,-20
2,-20
2,-20
2,-20
2,-20
2,-20
2,-20
2,-20
2,0.999723935276396
2,-20
2,-20
2,-20
2,-20
2,-20
2,-20
2,0.9993487561542613
2,-20
2,0.9996708026423778
2,0.999162634731522
2,0.9998166502234818
2,0.9993455971930789
2,0.9993968729617861
2,0.955177688521404
2,0.8506285814249256
2,-20
2,0.6716589098845577
2,0.5388949806241143
2,-20
2,0.3800731928574384
2,0.16412324803258913
2,-20
2,-20
2,0.033601518644745365
2,-1.0000505248706024
2,-20
2,-1.0000811390344737
2,-20
2,-20
2,-20
2,-1.0000014999786808
2,-20
2,-1.000008109425086
2,-1.0000036046202396
2,-0.999983175210513
2,-1.0000654967338394
2,-1.000003304944256
2,-1.000047771872934
2,-1.0000045067804655
2,-1.000003605838031
2,-1.00000781270993
2,-1.0000063109763395
2,-1.0000120210350207
2,-1.0000057100401645
2,-1.000000300533964
2,-1.0000592060714815
2,-1.0000111202370956
2,-1.000020437467531
2,-1.0000171314187407
2,-1.000008116014959
2,-1.0000009018030744
2,-1.0000258529333763
2,-1.0000096200845594
2,-1.0000087183683786
2,-1.0000045095104688
2,-1.0000081176133653
2,-1.0000042092282735
2,-1.000011725948228
2,-1.000004209359478
2,-1.0000387869827907
2,-1.0000090203180187
2,-1.0000231527892591
2,-1.000004510328356
2,-1.000002706444347
2,-1.0000030072243016
2,-1.0000039096048703
2,-1.0000219541683586
2,-1.0000018044637
2,-1.000023157448223
2,-1.000017443433352
2,-1.0000378963152399
2,-1.0000015038284265
2,-1.000003308603043
2,-1.000003609533474
2,-1.0000102279246321
2,-1.0000027074014066
2,-1.0000821251494667
2,-1.0000039107546572
2,-1.0000318884600905
2,-1.0000066184018503
2,-1.0000111331021857
2,-1.0000018053845547
2,-1.0000343048835074
2,-1.0000279859992094
2,-1.0000114354393275
2,-1.0000300933893562
2,-1.0000132421612
2,-1.0000078254292382
2,-1.0000063207092393
2,-1.000015652389431
2,-1.0000072244050502
2,-1.000023780771557
2,-1.0000036123228684
2,-1.0000141487860834
2,1.9999855922673624
2,-1.0000674374360434
2,-1.0000072255010402
2,-1.0000189675721765
2,-1.0000105382796671
2,-1.000033125567586
2,-1.0000042160530667
2,-1.0000262009286163
2,-1.000009637362318
2,-1.000021384565407
2,-1.0000057226869852
2,-1.0000177715453022
2,-1.0000069280477373
2,-1.0000006024692638
2,-1.0000096396380926
2,-1.000031330134524
2,-1.000046393455846
2,-1.0000048201061447
2,-1.0000057240059326
2,-1.0000090385706717
2,-1.0000192843900582
2,-1.000050622098307
2,-1.0000476095196853
