Action,Rewards,Gain,Loss
4,-0.2,,
1,0.98794,1,0.012060000000000001
5,-0.2,,
1,0.9870913526549517,1,0.012908647345048234
4,-0.4,,
4,-0.8,,
0,0.9375677438089509,1,0.06243225619104907
1,0.2216645154960107,0.2370000000000001,0.015335484503989381
3,0.9164557732065249,1,0.08354422679347503
1,0.9177197708741496,1,0.08228022912585037
1,0.9230818296566055,1,0.07691817034339449
4,-0.2,,
0,0.21698899373368358,0.29826666666666646,0.08127767293298288
0,-1.0,notEmpty,0
1,0.9350747513208338,1,0.06492524867916619
0,-1.0,notEmpty,0
5,-0.2,,
3,0.9233803282198637,1,0.0766196717801363
0,-1.0,notEmpty,0
3,0.913975012488367,1,0.08602498751163302
3,0.9226265982509492,1,0.07737340174905079
4,-0.2,,
0,-0.9330369877888001,-1.0,-0.06696301221119999
3,-1.0,notEmpty,0
1,0.9241515536465902,1,0.07584844635340983
1,0.9249973537251516,1,0.07500264627484844
1,0.9069651478259122,1,0.09303485217408786
4,-0.2,,
3,-1.0,notEmpty,0
3,0.9133874256811996,1,0.08661257431880037
3,-1.0,notEmpty,0
3,0.9329064673626855,1,0.0670935326373146
0,-1.0,notEmpty,0
1,0.9061365894174495,1,0.09386341058255053
3,-1.0,notEmpty,0
1,0.9321074110128285,1,0.06789258898717154
3,-1.0,notEmpty,0
1,0.921466904683778,1,0.07853309531622198
0,-1.0,notEmpty,0
3,0.9192385760618744,1,0.08076142393812559
0,-1.0,notEmpty,0
0,-1.0,notEmpty,0
1,0.9275093647081866,1,0.07249063529181347
1,0.9861905696523792,1,0.013809430347620845
0,0.9190910014243341,1,0.08090899857566587
4,-0.2,,
1,0.9223523767476328,1,0.07764762325236722
1,0.9147488361866133,1,0.08525116381338671
1,0.9923150330187764,1,0.007684966981223581
1,0.9897491949086967,1,0.010250805091303303
1,0.9929651713636177,1,0.0070348286363822255
1,0.9919102142926366,1,0.008089785707363401
1,0.9839450787606748,1,0.016054921239325184
1,0.9300620577103642,1,0.06993794228963576
1,0.9828118616406826,1,0.01718813835931745
2,-1.0,,
5,-0.2,,
0,0.3474898636021047,0.424933333333333,0.07744346973122829
0,-1.0,notEmpty,0
3,0.929156006910798,1,0.07084399308920201
1,0.9064012602976463,1,0.09359873970235368
0,-1.0,notEmpty,0
0,-1.0,notEmpty,0
1,0.9286256594608516,1,0.07137434053914836
1,0.9862781528405878,1,0.013721847159412125
1,0.9150336098487482,1,0.08496639015125182
1,0.9886564670542706,1,0.011343532945729432
1,0.9012931466866774,1,0.09870685331332268
0,-0.9872561637798442,-1.0,-0.012743836220155843
