0,1,2,3,4
625.0,0.0,1.0,25.0,0.0
650.0,1.0,1.0,26.0,0.0
651.0,1.0,1.0,30.0,0.0
2575.0,5.0,0.0,2575.0,0.0
3825.0,3.0,1.0,2588.0,0.0
2516.0,5.0,0.0,2516.0,0.0
2500.0,5.0,0.0,2500.0,0.0
3750.0,3.0,1.0,2513.0,0.0
3764.0,3.0,1.0,2522.0,0.0
2513.0,5.0,0.0,2513.0,0.0
3764.0,3.0,1.0,2522.0,0.0
3774.0,0.0,0.0,2849.0,0.0
2524.0,0.0,0.0,349.0,0.0
966.0,1.0,1.0,345.0,0.0
2825.0,5.0,0.0,2825.0,0.0
4100.0,3.0,1.0,2863.0,0.0
4113.0,3.0,1.0,2871.0,0.0
2522.0,0.0,0.0,347.0,0.0
2849.0,0.0,0.0,549.0,0.0
3049.0,2.0,0.0,3049.0,0.0
3038.0,3.0,0.0,3038.0,0.0
2840.0,1.0,1.0,348.0,0.0
2825.0,5.0,0.0,2825.0,0.0
4075.0,3.0,1.0,2838.0,0.0
4115.0,3.0,1.0,2873.0,0.0
4124.0,0.0,0.0,3074.0,0.0
3063.0,2.0,0.0,3063.0,0.0
2840.0,1.0,1.0,348.0,0.0
2840.0,1.0,1.0,348.0,0.0
2849.0,0.0,0.0,549.0,0.0
3040.0,1.0,1.0,548.0,0.0
2825.0,5.0,0.0,2825.0,0.0
2500.0,5.0,0.0,2500.0,0.0
3125.0,2.0,1.0,2525.0,0.0
3775.0,3.0,1.0,2538.0,0.0
3788.0,3.0,1.0,2546.0,0.0
2588.0,5.0,0.0,2588.0,0.0
2514.0,3.0,0.0,2514.0,0.0
3765.0,1.0,0.0,2523.0,0.0
2513.0,5.0,0.0,2513.0,0.0
2500.0,5.0,0.0,2500.0,0.0
3125.0,2.0,1.0,2525.0,0.0
3175.0,3.0,1.0,2551.0,0.0
2550.0,3.0,0.0,2550.0,0.0
3225.0,3.0,1.0,2601.0,0.0
2501.0,2.0,0.0,2501.0,0.0
2500.0,5.0,0.0,2500.0,0.0
3125.0,2.0,1.0,2525.0,0.0
3150.0,3.0,1.0,2526.0,0.0
2550.0,3.0,0.0,2550.0,0.0
3800.0,3.0,1.0,2563.0,0.0
3213.0,2.0,1.0,2688.0,0.0
3938.0,1.0,0.0,2696.0,0.0
3946.0,3.0,-1.0,3946.0,0.0
3798.0,0.0,0.0,2748.0,0.0
2763.0,5.0,0.0,2763.0,0.0
2750.0,5.0,0.0,2750.0,0.0
2825.0,5.0,0.0,2825.0,0.0
