Episode,total_no_of_tasks,mapped,offloaded,cancelled,Completion%,xCompletion%,totalCompletion%,URG_missed,BE_missed,consumed_energy%
0,1000,989,0,0,5.5,2.1999999999999997,7.699999999999999,0,910,99.85399074074066
1,1000,999,0,0,10.2,2.6,12.799999999999999,0,871,95.58476851851863
2,1000,989,0,0,8.3,2.9000000000000004,11.200000000000001,0,875,99.6952129629629
3,1000,999,0,0,4.1000000000000005,2.1999999999999997,6.300000000000001,0,936,93.01756481481482
4,1000,999,0,0,2.3,2.1,4.4,0,955,85.02274074074072
5,1000,999,0,0,4.2,1.7999999999999998,6.0,0,939,86.39357870370367
6,1000,979,0,0,9.2,2.1999999999999997,11.399999999999999,0,863,99.80454166666671
7,1000,999,0,0,6.2,3.5999999999999996,9.8,0,899,100.09076851851854
8,1000,999,0,0,3.6999999999999997,0.8999999999999999,4.6,0,953,82.70045370370367
9,1000,999,0,0,2.9000000000000004,3.0,5.9,0,940,87.34932870370366
10,1000,999,0,0,5.8999999999999995,2.1,8.0,0,919,95.65784722222212
11,1000,999,0,0,7.5,2.1,9.6,0,903,91.47300462962954
12,1000,978,0,0,7.9,8.9,16.8,0,808,100.17320833333333
13,1000,999,0,0,4.1000000000000005,2.4,6.5,0,934,82.97777777777783
14,1000,988,0,0,5.5,2.5,8.0,0,906,99.66611111111105
15,1000,999,0,0,7.3999999999999995,1.7000000000000002,9.1,0,908,89.33067129629639
16,1000,999,0,0,8.5,2.7,11.2,0,887,97.25009259259257
17,1000,999,0,0,3.1,1.4000000000000001,4.5,0,954,81.25962037037038
18,1000,958,0,0,10.5,2.5,13.0,0,826,99.83720370370376
19,1000,993,0,0,8.5,2.4,10.9,0,882,99.61420370370368
20,1000,999,0,0,11.4,3.0,14.4,0,854,99.67363888888902
21,1000,999,0,0,4.3999999999999995,0.8999999999999999,5.299999999999999,0,946,81.08426851851853
22,1000,975,0,0,9.5,4.1000000000000005,13.600000000000001,0,837,99.56563425925921
23,1000,999,0,0,4.3,1.6,5.9,0,940,89.66297685185174
24,1000,999,0,0,10.299999999999999,2.1999999999999997,12.499999999999998,0,871,99.80829166666673
25,1000,1000,0,0,6.1,2.4,8.5,0,915,99.56889814814825
26,1000,999,0,0,4.8,2.0,6.8,0,931,92.00367129629619
27,1000,999,0,0,5.8999999999999995,1.0,6.8999999999999995,0,930,86.8657777777778
28,1000,982,0,0,8.7,4.7,13.399999999999999,0,847,99.55736574074056
29,1000,951,0,0,6.4,4.9,11.3,0,836,99.61344444444441
