idx,m1,m2,m3,m4
T1,23.7295,107.4153,107.4153,107.4153
T2,27.6856,125.323,125.323,125.323
T3,28.177,127.5474,127.5474,127.5474
T4,33.1371,150.0,150.0,150.0
