Episode,total_no_of_tasks,mapped,offloaded,cancelled,Completion%,xCompletion%,totalCompletion%,URG_missed,BE_missed,consumed_energy%
0,1000,995,0,0,7.1,1.6,8.7,0,907,99.70041203703708
1,1000,999,0,0,3.4000000000000004,0.5,3.9000000000000004,0,960,75.17825462962958
2,1000,999,0,0,4.7,1.6,6.300000000000001,0,936,92.84849074074066
3,1000,999,0,0,3.1,1.7000000000000002,4.800000000000001,0,951,87.21019444444447
4,1000,999,0,0,6.6000000000000005,1.0999999999999999,7.7,0,922,90.9922361111111
5,1000,999,0,0,5.3,1.2,6.5,0,934,93.96368518518507
6,1000,993,0,0,4.5,2.6,7.1,0,921,99.564472222222
7,1000,999,0,0,3.5999999999999996,0.8999999999999999,4.5,0,954,85.39267129629619
8,1000,999,0,0,5.800000000000001,1.5,7.300000000000001,0,926,90.94972685185174
9,1000,1000,0,0,4.3,2.6,6.9,0,931,94.69539351851847
10,1000,474,0,0,18.7,9.2,27.9,0,192,100.1285972222222
11,1000,999,0,0,4.5,2.5,7.0,0,929,98.71348611111104
12,1000,988,0,0,5.4,3.9,9.3,0,893,99.8022777777778
13,1000,986,0,0,4.3999999999999995,3.2,7.6,0,908,99.55396759259266
14,1000,999,0,0,3.5999999999999996,2.0,5.6,0,943,90.55937962962966
15,1000,1000,0,0,5.0,3.0,8.0,0,918,100.01428240740744
16,1000,973,0,0,7.000000000000001,2.4,9.4,0,877,100.28931481481489
17,1000,999,0,0,4.9,1.9,6.800000000000001,0,931,79.75512962962964
18,1000,967,0,0,8.4,1.4000000000000001,9.8,0,867,99.61398611111113
19,1000,955,0,0,10.9,2.3,13.2,0,822,99.58419444444448
20,1000,999,0,0,2.1999999999999997,2.1,4.3,0,956,81.25620370370363
21,1000,999,0,0,4.6,1.5,6.1,0,938,85.28215740740744
22,1000,934,0,0,11.4,3.8,15.2,0,781,99.77189351851847
23,1000,999,0,0,6.6000000000000005,1.7000000000000002,8.3,0,916,90.74185648148145
24,1000,999,0,0,4.0,1.7000000000000002,5.7,0,942,91.97278703703715
25,1000,999,0,0,4.6,2.1,6.699999999999999,0,932,94.18213888888887
26,1000,947,0,0,12.5,3.9,16.4,0,779,99.6041296296296
27,1000,999,0,0,4.6,1.4000000000000001,6.0,0,939,83.96664814814815
28,1000,999,0,0,4.9,1.7999999999999998,6.7,0,932,90.72571296296287
29,1000,999,0,0,5.800000000000001,1.9,7.700000000000001,0,922,89.15696296296291
