0,1,2,3,4
625.0,0.0,0.9213433333333333,25.0,0.0
2525.0,0.0,0.6193466666666666,225.0,0.0
2725.0,1.0,0.6411279328616852,238.0,0.0
2738.0,1.0,0.6876761926160273,246.0,0.0
2771.0,4.0,-0.2,2771.0,0.0
4022.0,5.0,-0.2,4022.0,0.0
4049.0,5.0,-0.4,4049.0,0.0
4038.0,1.0,0.5710591836701453,2796.0,0.0
4046.0,4.0,-0.8,4046.0,0.0
4073.0,5.0,-1.6,4073.0,0.0
4063.0,1.0,0.5605644666887677,2821.0,0.0
4096.0,3.0,-1.0,4096.0,0.0
4097.0,3.0,-1.0,4097.0,0.0
4098.0,3.0,-1.0,4098.0,0.0
4088.0,1.0,0.734663444266286,2846.0,0.0
4097.0,3.0,-1.0,4097.0,0.0
4097.0,3.0,-1.0,4097.0,0.0
4099.0,3.0,-1.0,4099.0,0.0
4099.0,3.0,-1.0,4099.0,0.0
4099.0,3.0,-1.0,4099.0,0.0
4099.0,3.0,-1.0,4099.0,0.0
4088.0,1.0,0.5956797597792236,2846.0,0.0
4098.0,3.0,-1.0,4098.0,0.0
4124.0,2.0,-0.12459355461885455,3074.0,0.0
4324.0,3.0,-1.0,4324.0,0.0
4313.0,1.0,0.6815487999308945,3071.0,0.0
4322.0,3.0,-1.0,4322.0,0.0
4324.0,3.0,-1.0,4324.0,0.0
4324.0,3.0,-1.0,4324.0,0.0
4313.0,1.0,0.5844301776299102,3071.0,0.0
4321.0,3.0,-1.0,4321.0,0.0
4323.0,4.0,-0.2,4323.0,0.0
4324.0,3.0,-1.0,4324.0,0.0
4338.0,1.0,0.5907620686820183,3096.0,0.0
4346.0,5.0,-0.2,4346.0,0.0
4348.0,5.0,-0.4,4348.0,0.0
4348.0,5.0,-0.8,4348.0,0.0
4338.0,1.0,0.6356622180605627,3096.0,0.0
3721.0,3.0,-1.0,3721.0,0.0
3721.0,3.0,-1.0,3721.0,0.0
3722.0,3.0,-1.0,3722.0,0.0
3722.0,3.0,-1.0,3722.0,0.0
3723.0,4.0,-1.6,2473.0,0.0
2474.0,3.0,-1.0,2474.0,0.0
