Episode,total_no_of_tasks,mapped,offloaded,cancelled,Completion%,xCompletion%,URG_missed,BE_missed,available_energy
0,1000,1000,0,0,87.9,5.3,0,68,27.234777777777687
1,1000,1000,0,0,81.39999999999999,10.9,0,77,28.05520999999995
2,1000,1000,0,0,84.8,8.200000000000001,0,70,27.592466111111158
3,1000,1000,0,0,87.9,5.3,0,68,27.096917222222213
4,1000,1000,0,0,87.4,5.1,0,75,27.849437777777705
5,1000,1000,0,0,84.7,8.5,0,68,27.443159444444348
6,1000,1000,0,0,87.7,6.1,0,62,27.159358333333298
7,1000,1000,0,0,87.3,6.4,0,63,26.92691444444437
8,1000,1000,0,0,87.4,6.0,0,66,26.94729722222207
9,1000,1000,0,0,88.4,5.3,0,63,27.108561666666628
10,1000,1000,0,0,85.6,8.0,0,64,26.899297222222167
11,1000,1000,0,0,82.39999999999999,10.4,0,72,27.54982777777773
12,1000,1000,0,0,79.7,11.799999999999999,0,85,27.89893111111116
13,1000,1000,0,0,78.60000000000001,13.4,0,80,27.567434444444373
14,1000,1000,0,0,88.1,5.3,0,66,27.478403333333315
15,1000,1000,0,0,78.0,14.000000000000002,0,80,28.100567222222228
16,1000,1000,0,0,90.5,3.5000000000000004,0,60,26.517916666666633
17,1000,1000,0,0,85.2,7.1,0,77,27.54866388888896
18,1000,1000,0,0,83.2,9.5,0,73,27.596252222222223
19,1000,1000,0,0,81.69999999999999,10.0,0,83,27.52518888888885
20,1000,1000,0,0,86.5,6.800000000000001,0,67,27.388516666666654
21,1000,1000,0,0,86.0,7.1,0,69,27.757539999999963
22,1000,1000,0,0,88.8,4.8,0,64,26.677776111110955
23,1000,1000,0,0,81.39999999999999,11.4,0,72,27.54272499999999
24,1000,1000,0,0,83.6,8.7,0,77,27.5591194444444
25,1000,1000,0,0,79.9,11.4,0,87,27.989941111111023
26,1000,1000,0,0,90.10000000000001,3.6999999999999997,0,62,27.02058388888885
27,1000,1000,0,0,87.2,5.2,0,76,27.732720555555577
28,1000,1000,0,0,91.3,2.3,0,64,27.110206666666578
29,1000,1000,0,0,88.3,5.3,0,64,27.04841833333329
