Episode,total_no_of_tasks,mapped,offloaded,cancelled,Completion%,xCompletion%,URG_missed,BE_missed,available_energy
0,1000,1000,0,0,24.9,36.8,0,383,25.635113888888892
1,1000,999,0,0,29.4,32.4,0,381,25.909813333333346
2,1000,999,0,0,23.7,38.6,0,376,25.42003388888885
3,1000,1000,0,0,28.299999999999997,33.5,0,382,25.649533888888786
4,1000,999,0,0,26.200000000000003,34.0,0,397,26.237409999999926
5,1000,999,0,0,21.4,38.1,0,404,25.920988888888843
6,1000,1000,0,0,23.7,36.7,0,396,25.689528333333236
7,1000,1000,0,0,27.700000000000003,33.6,0,387,25.97663555555551
8,1000,1000,0,0,24.2,36.0,0,398,26.214633888888883
9,1000,999,0,0,26.1,33.300000000000004,0,405,26.338283333333287
10,1000,999,0,0,23.7,36.7,0,395,26.48023555555551
11,1000,999,0,0,23.9,36.5,0,395,26.39812611111108
12,1000,999,0,0,25.0,35.5,0,394,26.09474999999999
13,1000,1000,0,0,28.499999999999996,34.9,0,366,24.890647222222128
14,1000,1000,0,0,24.5,35.6,0,399,25.361826666666644
15,1000,999,0,0,21.3,39.300000000000004,0,393,25.497558888888914
16,1000,1000,0,0,23.400000000000002,38.2,0,384,25.349748888888758
17,1000,999,0,0,24.099999999999998,38.6,0,372,25.42176888888882
18,1000,999,0,0,30.2,33.5,0,362,25.621247222222273
19,1000,1000,0,0,21.7,39.0,0,393,26.31928833333333
20,1000,999,0,0,25.2,36.3,0,384,25.74500999999999
21,1000,1000,0,0,20.7,39.5,0,398,25.738813888888824
22,1000,1000,0,0,23.400000000000002,39.0,0,376,26.394084444444427
23,1000,999,0,0,26.700000000000003,36.8,0,364,25.02406111111102
24,1000,999,0,0,28.7,33.0,0,382,25.410294444444464
25,1000,999,0,0,29.599999999999998,34.0,0,363,26.37558388888886
26,1000,999,0,0,23.200000000000003,38.5,0,382,26.323193888888877
27,1000,999,0,0,29.7,33.800000000000004,0,364,25.716844999999964
28,1000,1000,0,0,24.099999999999998,38.2,0,377,25.311067222222146
29,1000,999,0,0,26.6,35.3,0,380,26.11753888888887
