Execution Time [sec],size
59.91170597,95
0.613162041,95
0.622646093,95
0.611557245,95
0.606783152,95
0.617576122,95
0.617083073,95
0.611325979,95
0.616579294,95
0.611968517,95
0.619137287,95
0.620601416,95
0.611419916,95
0.614094496,95
0.837412596,95
0.627282143,95
0.619772434,95
0.620611906,95
0.616616964,95
0.61132288,95
0.625612974,95
0.615989447,95
0.620540857,95
0.612685919,95
0.619060993,95
0.612814903,95
0.622644901,95
0.622881413,95
0.90175128,95
0.630315542,95
2.363620996,379
1.141373158,379
1.128620148,379
1.115011215,379
1.119745493,379
1.122763157,379
1.131762743,379
1.123534203,379
1.132127047,379
1.128309011,379
1.12253499,379
1.121320248,379
1.405450821,379
1.142716885,379
1.127680779,379
1.118083,379
1.120382309,379
1.11420083,379
1.119100332,379
1.128623247,379
1.141590595,379
1.136963129,379
1.128465414,379
1.152588129,379
1.148818731,379
1.141182184,379
1.163830996,379
1.476339102,379
1.198528528,379
1.18856144,379
2.353155375,387
1.250023842,387
1.246771574,387
1.240531921,387
1.238231421,387
1.230843306,387
1.227674961,387
1.230871677,387
1.222720861,387
1.228250265,387
1.222031355,387
1.555248737,387
1.263568401,387
1.260122776,387
1.24819994,387
1.249449015,387
1.257123232,387
1.24977541,387
1.236848354,387
1.240311623,387
1.228141308,387
1.234993935,387
1.237339973,387
1.242390394,387
1.235250473,387
1.230709553,387
1.597130537,387
1.265624762,387
1.264407873,387
1.245713234,387
0.994763613,30
0.590686083,30
0.584754467,30
0.597021818,30
0.586922407,30
0.593099594,30
0.588394403,30
0.592007875,30
0.587049723,30
0.61129427,30
0.614227057,30
0.97017169,30
0.629251719,30
0.619441748,30
0.619138956,30
0.614604235,30
0.619956017,30
0.624415874,30
0.621083021,30
0.61469841,30
0.606691599,30
0.615142107,30
0.617763519,30
0.6135993,30
0.613662004,30
0.992833614,30
0.633465528,30
0.626981497,30
0.630349874,30
0.630106449,30
1.177543163,120
0.621393442,120
0.616144896,120
0.620801687,120
0.615273237,120
0.613336563,120
0.610680342,120
0.616945267,120
0.997203827,120
0.633518219,120
0.632176399,120
0.628683567,120
0.618817329,120
0.611403942,120
0.626156092,120
0.612584114,120
0.619551897,120
0.625463247,120
0.61121726,120
0.624406815,120
0.611951113,120
1.027053833,120
0.632460594,120
0.631589174,120
0.627310991,120
0.627170086,120
0.627954006,120
0.621100903,120
0.623248339,120
0.636903763,120
1.170556068,28
0.641741991,28
0.638234377,28
1.054270267,28
0.652007818,28
0.654762745,28
0.654220343,28
0.653043509,28
0.643288136,28
0.640553236,28
0.63506937,28
0.648569345,28
0.64123559,28
0.64647603,28
1.056910515,28
0.692376852,28
0.687551022,28
0.670653582,28
0.673256874,28
0.676598072,28
0.673635721,28
0.666314363,28
0.661263704,28
0.67443347,28
0.666124105,28
0.669059515,28
1.092894793,28
0.675718784,28
0.681448698,28
0.677518845,28
1.876878738,169
0.92337513,169
0.913891792,169
0.918092966,169
0.912660122,169
0.929280996,169
0.918556452,169
1.345571518,169
0.928305149,169
0.926557064,169
0.91966486,169
0.922032356,169
0.925635099,169
0.927283287,169
0.932399273,169
0.923839808,169
0.918721914,169
0.920222998,169
1.383571625,169
0.92779994,169
0.936789989,169
0.92014575,169
0.925649166,169
0.9233253,169
0.933103561,169
0.935026169,169
0.925659418,169
0.924907446,169
0.929369211,169
1.386170387,169
1.405386209,214
0.831689119,214
0.819025993,214
0.823717833,214
0.812179089,214
0.811968088,214
0.818039179,214
0.820089102,214
0.815902472,214
0.810719967,214
1.329369783,214
0.843388557,214
0.855245352,214
0.856483459,214
0.847559214,214
0.853534698,214
0.849765301,214
0.848801136,214
0.848562241,214
0.858257771,214
1.33717227,214
0.886521578,214
0.868956804,214
0.863841534,214
0.855293751,214
0.860086679,214
0.856738091,214
0.856967926,214
0.850408316,214
0.861072302,214
2.751937389,512
1.25778532,512
1.244216442,512
1.243998289,512
1.245004654,512
1.23388052,512
1.232527018,512
1.236400604,512
1.231365442,512
1.233376503,512
1.7330513,512
1.261110306,512
1.246253967,512
1.244880915,512
1.257991076,512
1.244837284,512
1.245085716,512
1.242939234,512
1.237985849,512
1.233739614,512
1.746022701,512
1.258574247,512
1.253735304,512
1.264287472,512
1.251925468,512
1.271147728,512
1.26087451,512
1.292552948,512
1.281872511,512
1.289666653,512
2.375633717,157
0.918579817,157
0.908612013,157
0.901195765,157
0.898311377,157
0.911862135,157
0.902821541,157
0.905235291,157
0.897472143,157
0.902596474,157
0.905594826,157
1.456730604,157
0.914163113,157
0.915309906,157
0.913478136,157
0.914455891,157
0.902933598,157
0.910292625,157
0.90857935,157
0.901795626,157
1.450575352,157
0.919592142,157
0.914618254,157
0.925044537,157
0.910482645,157
0.917312622,157
0.902854681,157
0.910595894,157
0.91780138,157
0.917582989,157
2.653921127,559
1.166390181,559
1.17317605,559
1.156945705,559
1.161216974,559
1.157629728,559
1.151153803,559
1.153625965,559
1.147665501,559
1.708765507,559
1.177698135,559
1.190665483,559
1.199429274,559
1.210025787,559
1.202732563,559
1.214964867,559
1.216078758,559
1.219504833,559
1.213252544,559
1.799280643,559
1.227290154,559
1.214984894,559
1.217726469,559
1.208508492,559
1.228790045,559
1.213228703,559
1.214139223,559
1.21619463,559
