Episode,total_no_of_tasks,mapped,offloaded,cancelled,Completion%,xCompletion%,URG_missed,BE_missed,available_energy
500,1000,1000,0,0,77.2,9.1,0,137,25.9888822222
501,1000,1000,0,0,67.9,16.5,0,156,25.9817027778
502,1000,1000,0,0,74.8,11.5,0,137,25.9045805556
503,1000,1000,0,0,67,17.6,0,154,25.8851627778
504,1000,1000,0,0,64.8,18,0,172,26.9027216667
505,1000,1000,0,0,68.6,16.3,0,151,25.9859416667
506,1000,1000,0,0,63.8,19.4,0,168,26.885635
507,1000,1000,0,0,66.2,19,0,148,25.8562794444
508,1000,1000,0,0,69.2,15.6,0,152,25.786555
509,1000,1000,0,0,63.8,19.6,0,166,26.2852488889
510,1000,1000,0,0,80.2,7.2,0,126,25.8926094444
511,1000,1000,0,0,60.1,23.6,0,163,26.9634894444
512,1000,1000,0,0,72.4,13.7,0,139,26.1287977778
513,1000,1000,0,0,70.2,15.1,0,147,26.2509461111
514,1000,1000,0,0,72.2,13.9,0,139,26.2768916667
515,1000,1000,0,0,60.4,23.5,0,161,25.9235505556
516,1000,1000,0,0,71.9,13.8,0,143,25.5909988889
517,1000,1000,0,0,62.5,20.2,0,173,26.6453883333
518,1000,1000,0,0,67.7,16.8,0,155,26.3172766667
519,1000,1000,0,0,70.6,14.7,0,147,25.8289111111
520,1000,1000,0,0,65.3,19.3,0,154,25.7922322222
521,1000,1000,0,0,67.4,17.2,0,154,25.7339805556
522,1000,1000,0,0,74.9,10.9,0,142,26.1018566667
523,1000,1000,0,0,71.2,14.4,0,144,26.2057305556
524,1000,1000,0,0,63.3,19.3,0,174,26.5141272222
525,1000,1000,0,0,66.1,18.5,0,154,26.2963722222
526,1000,1000,0,0,69.9,16.2,0,139,25.7721988889
527,1000,1000,0,0,74.9,11.8,0,133,25.7069138889
528,1000,1000,0,0,59.3,23.4,0,173,26.3532388889
529,1000,1000,0,0,71,14.6,0,144,25.9929416667
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,68.4933333333,16.3566666667,,,
,,,,,,,,,
,,,,,84.85,,,,
