Episode,total_no_of_tasks,mapped,offloaded,cancelled,Completion%,xCompletion%,totalCompletion%,URG_missed,BE_missed,consumed_energy%
0,1000,422,0,0,40.0,1.0999999999999999,41.1,0,7,100.33517129629625
1,1000,558,0,0,23.1,14.399999999999999,37.5,0,179,99.50419907407402
2,1000,460,0,0,33.300000000000004,5.8999999999999995,39.2,0,64,99.5814907407407
3,1000,414,0,0,23.0,9.700000000000001,32.7,0,83,99.55875925925926
4,1000,465,0,0,26.6,9.6,36.2,0,99,99.53011574074081
5,1000,450,0,0,31.2,7.6,38.8,0,58,99.54100462962964
6,1000,440,0,0,19.6,17.4,37.0,0,66,99.5056666666666
7,1000,445,0,0,28.000000000000004,3.5999999999999996,31.6,0,125,99.56027777777778
8,1000,421,0,0,33.1,5.2,38.300000000000004,0,34,99.54875000000014
9,1000,476,0,0,33.5,11.200000000000001,44.7,0,25,99.65583333333332
10,1000,461,0,0,16.2,11.1,27.299999999999997,0,184,99.53714814814796
11,1000,511,0,0,16.2,10.6,26.799999999999997,0,239,99.97859722222219
12,1000,520,0,0,34.599999999999994,4.0,38.599999999999994,0,130,99.8254583333334
13,1000,531,0,0,17.8,14.799999999999999,32.6,0,201,99.64129166666672
14,1000,452,0,0,22.400000000000002,9.6,32.0,0,128,99.64433333333339
15,1000,485,0,0,25.1,9.8,34.900000000000006,0,132,99.9766388888889
16,1000,469,0,0,26.8,15.6,42.4,0,41,99.51877314814817
17,1000,478,0,0,20.8,11.799999999999999,32.6,0,148,99.98162500000001
18,1000,472,0,0,20.1,14.499999999999998,34.6,0,122,99.50168518518538
19,1000,431,0,0,35.8,4.3,40.099999999999994,0,26,99.85647222222217
20,1000,513,0,0,24.6,17.4,42.0,0,89,100.1815740740741
21,1000,501,0,0,28.199999999999996,10.6,38.8,0,109,100.2588935185185
22,1000,501,0,0,24.4,13.4,37.8,0,119,100.3810833333334
23,1000,456,0,0,19.2,8.3,27.5,0,177,99.89426851851867
24,1000,486,0,0,22.7,10.9,33.6,0,146,100.18363425925914
25,1000,416,0,0,14.2,16.400000000000002,30.6,0,106,100.24382870370358
26,1000,444,0,0,33.0,3.8,36.8,0,72,100.01948148148145
27,1000,516,0,0,23.0,8.6,31.6,0,196,99.55174074074085
28,1000,438,0,0,21.6,15.8,37.400000000000006,0,60,99.50862962962944
29,1000,421,0,0,19.5,12.9,32.4,0,93,99.5609166666666
